word,meaning,number_of_searches
bossy,mandón,0
banana,plátano,0
althoug,aunque ,0
get over,recuperarse... superar,0
therefore,por lo tanto,0
pushy,molesto,0
breath,aliento,0
breathe,respirar,0
quirk,capricho,0
quirky,peculiar,0
butt,trasero#culo,0
gossip,chisme#chismear,0
shred,fragmento#pizca,0
swamp,pantano#abrumar#inundar#sumergir,0
attorney,abogado,0
screw,tornillo#atornillar#follar,0
toes,dedos del pie,0
resampling,remuestreo,0
liver,higado,0
mortgage,hipoteca#hipotecar,0
scrape,rasguño#arañar,0
launch,lanzar,0
bendy,flexible,0
chase, perseguir,0
duty, deber,0
though, sin embargo... parecido al however o although,0
rather, bastante... más bien,0
rather than, en lugar de...,0
besides, aparte de#además de...,0
issue, cuestión#asunto,0
spawn, desovar,0
cunning, astuto,0
wise, sabio,0
crowd, multitud#muchedumbre,0
mob, muchedumbre,0
siblings, hermano y hermana,0
keen on, interesado,0
chum, amigo#colega,0
father in law, suegro,0
acquaintance, conocido,0
buddy, compañero,0
hitchhiker, autoestopista,0
afraid of, temerse,0
cunt, coño#tontolaba,0
spun, hilada,0
tummy, barriga,0
shivers, escalofríos,0
make up your mind, decídete,0
dreadful, terrible,0
disclaim, negar,0
damp, húmedo,0
endured, soportado,0
triggers, desencadenantes#detonantes,0
dream on,  sigue soñando,0
makeup, maquillaje#constituir,0
thread, hilo,0
